"entity","code","year","nitrogen_kg_ha","region_label"
"Europe (FAO)","",1978,53.59,"Europe"
"Europe (FAO)","",1979,54.59,"Europe"
"Europe (FAO)","",1980,56.05,"Europe"
"Europe (FAO)","",1981,56.76,"Europe"
"Europe (FAO)","",1982,59.51,"Europe"
"Europe (FAO)","",1983,63.61,"Europe"
"Europe (FAO)","",1984,64.08,"Europe"
"Europe (FAO)","",1985,66.49,"Europe"
"Europe (FAO)","",1986,68.12,"Europe"
"Europe (FAO)","",1987,68.64,"Europe"
"Europe (FAO)","",1988,69.12,"Europe"
"Europe (FAO)","",1989,64.22,"Europe"
"Europe (FAO)","",1990,56.89,"Europe"
"Europe (FAO)","",1991,50.31,"Europe"
"Europe (FAO)","",1992,44.45,"Europe"
"Europe (FAO)","",1993,41.73,"Europe"
"Europe (FAO)","",1994,39.16,"Europe"
"Europe (FAO)","",1995,38.88,"Europe"
"Europe (FAO)","",1996,40.78,"Europe"
"Europe (FAO)","",1997,39.93,"Europe"
"Europe (FAO)","",1998,39.79,"Europe"
"Europe (FAO)","",1999,40.23,"Europe"
"Europe (FAO)","",2000,38.46,"Europe"
"Europe (FAO)","",2001,39.86,"Europe"
"Europe (FAO)","",2002,39.21,"Europe"
"Europe (FAO)","",2003,40.45,"Europe"
"Europe (FAO)","",2004,40.23,"Europe"
"Europe (FAO)","",2005,39.25,"Europe"
"Europe (FAO)","",2006,39.76,"Europe"
"Europe (FAO)","",2007,43.16,"Europe"
"Europe (FAO)","",2008,41.33,"Europe"
"Europe (FAO)","",2009,39.43,"Europe"
"Europe (FAO)","",2010,41.75,"Europe"
"Europe (FAO)","",2011,42.57,"Europe"
"Europe (FAO)","",2012,43.05,"Europe"
"Europe (FAO)","",2013,44.51,"Europe"
"Europe (FAO)","",2014,44.75,"Europe"
"Europe (FAO)","",2015,45.58,"Europe"
"Europe (FAO)","",2016,46.71,"Europe"
"Europe (FAO)","",2017,48.24,"Europe"
"Europe (FAO)","",2018,46.53,"Europe"
"Europe (FAO)","",2019,46.93,"Europe"
"Europe (FAO)","",2020,49.2,"Europe"
"Europe (FAO)","",2021,48.56,"Europe"
"Europe (FAO)","",2022,43.98,"Europe"
"Europe (FAO)","",2023,43.37,"Europe"
"Northern America (FAO)","",1961,11.19,"Northern America"
"Northern America (FAO)","",1962,13.09,"Northern America"
"Northern America (FAO)","",1963,14.59,"Northern America"
"Northern America (FAO)","",1964,15.87,"Northern America"
"Northern America (FAO)","",1965,17.97,"Northern America"
"Northern America (FAO)","",1966,20.64,"Northern America"
"Northern America (FAO)","",1967,23.44,"Northern America"
"Northern America (FAO)","",1968,23.62,"Northern America"
"Northern America (FAO)","",1969,24.12,"Northern America"
"Northern America (FAO)","",1970,26.21,"Northern America"
"Northern America (FAO)","",1971,26.97,"Northern America"
"Northern America (FAO)","",1972,27.73,"Northern America"
"Northern America (FAO)","",1973,30.31,"Northern America"
"Northern America (FAO)","",1974,30.16,"Northern America"
"Northern America (FAO)","",1975,33.56,"Northern America"
"Northern America (FAO)","",1976,36.09,"Northern America"
"Northern America (FAO)","",1977,35.42,"Northern America"
"Northern America (FAO)","",1978,36.21,"Northern America"
"Northern America (FAO)","",1979,38.4,"Northern America"
"Northern America (FAO)","",1980,40.58,"Northern America"
"Northern America (FAO)","",1981,39.2,"Northern America"
"Northern America (FAO)","",1982,34.82,"Northern America"
"Northern America (FAO)","",1983,37.72,"Northern America"
"Northern America (FAO)","",1984,40.89,"Northern America"
"Northern America (FAO)","",1985,38.59,"Northern America"
"Northern America (FAO)","",1986,36.68,"Northern America"
"Northern America (FAO)","",1987,37.58,"Northern America"
"Northern America (FAO)","",1988,37.99,"Northern America"
"Northern America (FAO)","",1989,39.25,"Northern America"
"Northern America (FAO)","",1990,40.06,"Northern America"
"Northern America (FAO)","",1991,41,"Northern America"
"Northern America (FAO)","",1992,41.6,"Northern America"
"Northern America (FAO)","",1993,44.81,"Northern America"
"Northern America (FAO)","",1994,44.52,"Northern America"
"Northern America (FAO)","",1995,45.29,"Northern America"
"Northern America (FAO)","",1996,46.99,"Northern America"
"Northern America (FAO)","",1997,47.14,"Northern America"
"Northern America (FAO)","",1998,47.48,"Northern America"
"Northern America (FAO)","",1999,47.86,"Northern America"
"Northern America (FAO)","",2000,45.49,"Northern America"
"Northern America (FAO)","",2001,45.57,"Northern America"
"Northern America (FAO)","",2002,47.37,"Northern America"
"Northern America (FAO)","",2003,51.14,"Northern America"
"Northern America (FAO)","",2004,48.92,"Northern America"
"Northern America (FAO)","",2005,49.53,"Northern America"
"Northern America (FAO)","",2006,52.43,"Northern America"
"Northern America (FAO)","",2007,53.93,"Northern America"
"Northern America (FAO)","",2008,49.74,"Northern America"
