"entity","code","first_year","last_year","observations"
"Taiwan","TWN",2002,2023,22
"Tajikistan","TJK",1992,2023,32
"Tanzania","TZA",1961,2023,63
"Thailand","THA",1961,2023,63
"Togo","TGO",1969,2023,55
"Tonga","TON",1982,2023,26
"Trinidad and Tobago","TTO",1961,2023,63
"Tunisia","TUN",1961,2023,63
"Turkey","TUR",1961,2023,63
"Turkmenistan","TKM",1992,2023,32
"Tuvalu","TUV",2002,2023,22
"USSR","OWID_USS",1961,1991,31
"Uganda","UGA",1961,2023,59
"Ukraine","UKR",1992,2023,32
"United Arab Emirates","ARE",1972,2023,52
"United Kingdom","GBR",1961,2023,63
"United States","USA",1961,2023,63
"Uruguay","URY",1961,2023,63
"Uzbekistan","UZB",1992,2023,32
"Vanuatu","VUT",2002,2023,22
"Venezuela","VEN",1961,2023,63
"Vietnam","VNM",1961,2023,63
"Western Africa (FAO)","",1961,2023,63
"Western Asia (FAO)","",1961,2023,63
"Western Europe (FAO)","",1961,2023,63
"World","OWID_WRL",1961,2023,63
"Yemen","YEM",1966,2023,58
"Yugoslavia","OWID_YGS",1961,1991,31
"Zambia","ZMB",1961,2023,63
"Zimbabwe","ZWE",1961,2023,63
